abai
abdul
ada
adalah
adanya
adapun
adek
aduh
aduh
afif
agak
agaknya
agar
aiptu
airlangga
ajalh
akan
akankah
akhir
akhiri
akhirnya
aku
akulah
albert
alhamdulillaaaahhh
alhamdulillah
allah
almuhibbin
alquran
alumni
amankan
amat
amatlah
amerika
amik
amin
ampun
anak
anda
andalah
aneh
angkat
antar
antara
antaranya
apa
apaan
apaapa
apabila
apakah
apalagi
apapa
apapa
apatah
apbn
apps
arep
armada
artinya
arus
aryani
asal
asalkan
ashari
aswita
atas
atasan
atau
ataukah
ataupun
awak
awal
awalnya
baabur
bagai
bagaikan
bagaimana
bagaimanakah
bagaimanapun
bagi
bagian
bahkan
bahwa
bahwasanya
baik
bakal
bakalan
balik
bambang
bangeteh
banyak
bapak
bapas
bapaslahat
baper
baru
batalkan
bawaannya
bawah
bawaslu
beberapa
begini
beginian
beginikah
beginilah
begitu
begitukah
begitulah
begitupun
bekerja
belakang
belakangan
belum
belumlah
belumm
benar
benarkah
benarlah
bepergi
berada
beragama
berakhir
berakhirlah
berakhirnya
berapa
berapakah
berapalah
berapapun
berarti
berawal
berbagai
berbondongbondong
berdatangan
bergulirpak
beri
berikan
berikut
berikutnya
berjumlah
berkali-kali
berkata
berkehendak
berkeinginan
berkenaan
berlainan
berlalu
berlangsung
berlebihan
bermacam
bermacam-macam
bermaksud
bermula
bersama
bersama-sama
bersatulawancovid
bersiap
bersiap-siap
bertanggung
bertanya
bertanya-tanya
berturut
berturut-turut
bertutur
berujar
berupa
besar
bete
betul
betulkah
biasa
biasanya
biji
bila
bilakah
bina
binda
bingkisan
bisa
bisakah
bismillah
blom
blum
boalemo
bodoh
bokek
boleh
bolehkah
bolehlah
bondo
bonus
boosternamun
boss
bourla
brbicara
brutal
buat
buber
budak
budi
bukan
bukankah
bukanlah
bukannya
bulan
bulletproof
bumn
bung
cabut
cakep
campak
candrabhaga
cara
caranya
celcius
cemanaanyaa
cicak
cieeee
cmiiw
combo
comeback
covd
criminals
cukup
cukupkah
cukuplah
cuma
dahlah
dahulu
dalam
dan
danramil
dapat
dari
daripada
darlsar
datang
dekat
demi
demikian
demikianlah
demimudikam
dengan
deni
depan
derajat
desahari
dewanto
dewi
di
dia
diakhiri
diakhirinya
dialah
diantara
diantaranya
diberi
diberikan
diberikannya
dibuat
dibuatnya
didapat
didatangkan
didesak
digratiskannya
digunakan
diibaratkan
diibaratkannya
diingat
diingatkan
diinginkan
dijawab
dijelaskan
dijelaskannya
dikarenakan
dikatakan
dikatakannya
dikerjakan
diketahui
diketahuinya
dikira
dilakukan
dilalui
dilihat
dimaksud
dimaksudkan
dimaksudkannya
dimaksudnya
dimasukin
diminta
dimintai
dimisalkan
dimulai
dimulailah
dimulainya
dimungkinkan
dini
dipastikan
dipedulindungi
diperbuat
diperbuatnya
dipergunakan
diperkirakan
diperlihatkan
diperlukan
diperlukannya
dipersoalkan
dipertanyakan
dips
dipunyai
diri
diributkan
dirinya
disampaikan
disebut
disebutkan
disebutkannya
disini
disinilah
ditaik
ditambahkan
ditandaskan
ditanya
ditanyai
ditanyakan
ditegaskan
ditujukan
ditungguakhirnya
ditunjuk
ditunjuki
ditunjukkan
ditunjukkannya
ditunjuknya
dituturkan
dituturkannya
diucapkan
diucapkannya
diulik
diungkapkan
dmana
doang
dong
dont
dont
dose
double
dua
dukung
dulu
duyungan
edunewsidmasyarakat
ehhhhh
eitsss
elok
empat
enggak
enggaknya
entah
entahlah
etiket
even
faisal
fatimah
fedik
fess
festival
fitri
fotokopi
fuking
gaada
gabawa
gaenak
gais
gakuat
galakan
ganteng
ganting
gapapa
gapyear
gasido
gatau
gausa
gaya
gcrg
gebyar
gedangan
genderewo
gereja
gigi
gila
gini 
gitu
gitu
gokar
gowo
guna
gunakan
hadah
hadehhhhhhhhhh
haha
haid
haii
hal
hamdalah
hampir
hanya
hanyalah
hari
harp
harus
haruslah
harusnya
haryanto
hasyim
helpppp
hendak
hendaklah
hendaknya
herd
herd
herlambang
herlambang
himbau
himbau
hingga
honda
hubdar
hubdar
hueningkai
hueningkai
ia
ialah
ibarat
ibaratkan
ibaratnya
ibu
ignya
ikut
iluna
imam
indonesias
ingat
ingat-ingat
ingin
inginkah
inginkan
ini
iniantara
inikah
inilah
instakai
insya
iphone
itu
itukah
itulah
iwan
jadi
jadilah
jadinya
jagaprokesnvaksin
jajaway
jakartabengkulu
jaki
jangan
jangankan
janganlah
jauh
jauhari
jawab
jawaban
jawabnya
jazz
jdwal
jelas
jelaskan
jelaslah
jelasnya
jenaka
jeongwoo
jeongwoo
jika
jikalau
jmmp
jompo
juga
jumlah
jumlahnya
jungwon
justru
kakanwil
kala
kalam
kalang
kalau
kalaulah
kalaupun
kalian
kami
kamilah
kamu
kamulah
kan
kangen
kapan
kapankah
kapanpun
karena
karenanya
kasih
kasus
kata
katakan
katakanlah
katanya
katon
ke
keadaan
kebetulan
keburu
kecil
kedaruratan
kedua
keduanya
keinginan
kelamaan
kelihatan
kelihatannya
kelima
keljatiraden
keluar
keluargaayo
kemarin
kembali
kembalisudah
kemeng
kemudian
kemungkinan
kemungkinannya
kenapa
kendor
kepada
kepadanya
kepalasekolah
kepentinganapa
kerasa
kesampaian
kesawen
keseluruhan
keseluruhannya
keterlaluan
ketiduran
ketika
khususnya
kill
kimcipedes
kimia
kini
kinilah
kipi
kira
kira-kira
kiranya
kita
kitalah
kknya
know
kok
kristiani
kronjo
kuaro
kudu
kumhampasti
kumhamsumsel
kuramh
kurang
kusnandar
laahhkan
lagi
lagian
lagitak
lagitak
lah
lahat
lain
lainnya
laku
lalu
lama
lamanya
lanjut
lanjutnya
lapas
laper
laperrrr
latepost
latiba
lbpapa
lebak
lebaranayo
lebih
letoy
lewat
lima
listyo
liveinterview
lpnbanyuasin
luar
luuu
mabok
macam
mada
mafia
mager
maka
makanya
makin
malah
malahan
mamaku
mampu
mampukah
mana
manakala
manalagi
mantaap
mantul
mari
masa
masal
masalah
masalahnya
masih
masihkah
masing
masing-masing
masmin
masya
masyaallah
masyarkat
matiin
matur
mau
maupun
maybe
mbah
mbak
mean
melainkan
melakukan
melalui
melihat
melihatnya
memang
memastikan
memberi
memberikan
membuat
memerlukan
memihak
meminta
memintakan
memisalkan
memperbuat
mempergunakan
memperkirakan
memperlihatkan
mempersiapkan
mempersoalkan
mempertanyakan
mempunyai
memulai
memungkinkan
menaiki
menambahkan
menandaskan
menanti
menantikan
menanti-nanti
menanya
menanyai
menanyakan
mendapat
mendapatkan
mendatang
mendatangi
mendatangkan
mendownload
menegaskan
mengakhiri
mengapa
mengatakan
mengatakannya
mengenai
mengerjakan
mengetahui
menggunakan
menghendaki
mengibaratkan
mengibaratkannya
mengingat
mengingatkan
menginginkan
mengintai
mengira
mengucapkan
mengucapkannya
mengungkapkan
menjadi
menjawab
menjelaskan
mens
menteng
menuju
menunjuk
menunjuki
menunjukkan
menunjuknya
menurut
menuturkan
menyampaikan
menyangkut
menyatakan
menyebutkan
menyeluruh
menyesiakan
menyiapkan
merasa
mereka
merekalah
meriang
merta
merupakan
meski
meskipun
mewakafkan
meyakini
meyakinkan
migor
minta
mirip
misal
misalkan
misalnya
mmastikan
mncocokan
mobile
mood
motogp
mudiknya
muhdlor
mula
mulai
mulailah
mulanya
munadi
mungkin
mungkinkah
muwun
nah
naik
nama
namun
nangor
nanti
nantinya
narkotika
nawaitu
nder
ndpp
ngajakin
ngakak
ngantri
ngantuk
ngasih
ngecek
ngelakuin
ngelive
ngenalin
ngeri
nggak
ngilu
ngomongnya
ngurus
niii
niki
nirmala
nritik
nugroho
nuri
nyakalau
nyaman
nyamudahan
nyaris
nyatanya
nyelenggarain
oleh
olehnya
only
onok
ooddoooobbbbngerti
orang
pada
padahal
padanya
pak
paling
pamer
panjang
pantas
pantau
panti
para
paser
paskah
pasti
pastilah
pbnu
pdfna
pegi
peking
pelindo
peng
pengasong
pengen
penggiringan
penguat
penting
pentingnya
per
percuma
perlu
perlukah
perlunya
pernah
persoalan
pertama
pertamanye
pertama-tama
pertanyaan
pertanyakan
pesantren
pesawaran
petik
pihak
pihaknya
pinokio
pituruh
plandemit
please
plis
plss
pondok
pphn
prabowo
presidenotak
presisi
printah
protkes
prtama
pstikan
pukul
pula
pulsa
pun
punten
punya
puter
pwnu
pzifer
quran
raharja
ramadhan
rantam
rasa
rasanya
rata
ratusan
raudhatul
rawa
raya
razia
regist
repost
rezky
ririn
rmid
roda
royhan
rsanya
rumah
rumahmu
rupanya
rusak
rute
saat
saatnya
sahabat
saja
sajalah
sales
saling
salman
salty
sama
samapi
sama-sama
sambil
sampai
sampaikan
sampai-sampai
sampe
samsek
sana
sang
sangat
sangatlah
santa
santoso
sasar
satu
saya
sayalah
sblm
screening
se
seba
sebab
sebabnya
sebagai
sebagaimana
sebagainya
sebagian
sebaik
sebaik-baiknya
sebaiknya
sebaliknya
sebanyak
sebegini
sebegitu
sebelum
sebelumnya
sebelumnye
sebenarnya
seberapa
sebesar
sebetulnya
sebisanya
sebuah
sebut
sebutlah
sebutnya
secara
secukupnya
sedang
sedangkan
sedemikian
sedikit
sedikitnya
seenaknya
segala
segalanya
segera
segini
seharusnya
sehingga
seingat
sejak
sejauh
